"biz_id","metadata_name","metadata_value","category_path","Label"
"344187","mcategory_ids","286","Businesses and Services > Personal Care > Tanning Salons","Tanning Salons"
"599398","mcategory_ids","286","Businesses and Services > Personal Care > Tanning Salons","Tanning Salons"
"287213","mcategory_ids","286","Businesses and Services > Personal Care > Tanning Salons","Tanning Salons"
"207612","mcategory_ids","286","Businesses and Services > Personal Care > Tanning Salons","Tanning Salons"
"265521","mcategory_ids","286","Businesses and Services > Personal Care > Tanning Salons","Tanning Salons"
"321794","mcategory_ids","286","Businesses and Services > Personal Care > Tanning Salons","Tanning Salons"
"163030","mcategory_ids","286","Businesses and Services > Personal Care > Tanning Salons","Tanning Salons"
"356297","mcategory_ids","286","Businesses and Services > Personal Care > Tanning Salons","Tanning Salons"
"89638","mcategory_ids","285","Businesses and Services > Personal Care > Spas","Spas"
"604989","mcategory_ids","285","Businesses and Services > Personal Care > Spas","Spas"
"361343","mcategory_ids","285","Businesses and Services > Personal Care > Spas","Spas"
"242791","mcategory_ids","285","Businesses and Services > Personal Care > Spas","Spas"
"173970","mcategory_ids","285","Businesses and Services > Personal Care > Spas","Spas"
"123740","mcategory_ids","285","Businesses and Services > Personal Care > Spas","Spas"
"134726","mcategory_ids","285","Businesses and Services > Personal Care > Spas","Spas"
"37247","mcategory_ids","285","Businesses and Services > Personal Care > Spas","Spas"
"288742","mcategory_ids","285","Businesses and Services > Personal Care > Spas","Spas"
"372477","mcategory_ids","285","Businesses and Services > Personal Care > Spas","Spas"
"129189","mcategory_ids","285","Businesses and Services > Personal Care > Spas","Spas"
"605005","mcategory_ids","285","Businesses and Services > Personal Care > Spas","Spas"
"37270","mcategory_ids","285","Businesses and Services > Personal Care > Spas","Spas"
"206286","mcategory_ids","285","Businesses and Services > Personal Care > Spas","Spas"
"193618","mcategory_ids","285","Businesses and Services > Personal Care > Spas","Spas"
"604877","mcategory_ids","285","Businesses and Services > Personal Care > Spas","Spas"
"233459","mcategory_ids","285","Businesses and Services > Personal Care > Spas","Spas"
"466313","mcategory_ids","284","Businesses and Services > Personal Care > Skin Care","Skin Care"
"604817","mcategory_ids","284","Businesses and Services > Personal Care > Skin Care","Skin Care"
"604998","mcategory_ids","284","Businesses and Services > Personal Care > Skin Care","Skin Care"
"60540","mcategory_ids","282","Businesses and Services > Personal Care > Massage Clinics and Therapists","Massage Clinics and Therapists"
"207602","mcategory_ids","282","Businesses and Services > Personal Care > Massage Clinics and Therapists","Massage Clinics and Therapists"
"282803","mcategory_ids","282","Businesses and Services > Personal Care > Massage Clinics and Therapists","Massage Clinics and Therapists"
"605153","mcategory_ids","282","Businesses and Services > Personal Care > Massage Clinics and Therapists","Massage Clinics and Therapists"
"467599","mcategory_ids","282","Businesses and Services > Personal Care > Massage Clinics and Therapists","Massage Clinics and Therapists"
"207598","mcategory_ids","281","Businesses and Services > Personal Care > Manicures and Pedicures","Manicures and Pedicures"
"605011","mcategory_ids","281","Businesses and Services > Personal Care > Manicures and Pedicures","Manicures and Pedicures"
